2022-02-24 15:51:14.058042 > 	PauliX011	Complete!
2022-02-24 15:51:14.058096 > 	PauliX0X111	Complete!
2022-02-24 15:51:14.058144 > 	PauliY0Y111	Complete!
2022-02-24 15:51:14.058190 > 	PauliZ111	Complete!
2022-02-24 15:51:14.058235 > 	PauliX111	Complete!
2022-02-24 15:51:14.058440 > 	Finished running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.118172 > 	Successfully loaded project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.118274 > 	Phi01	Complete!
2022-02-24 15:51:14.118345 > 	PauliZ000	Complete!
2022-02-24 15:51:14.118414 > 	PauliX000	Complete!
2022-02-24 15:51:14.118479 > 	PauliX0X100	Complete!
2022-02-24 15:51:14.118545 > 	PauliY0Y100	Complete!
2022-02-24 15:51:14.118608 > 	PauliZ100	Complete!
2022-02-24 15:51:14.118673 > 	PauliX100	Complete!
2022-02-24 15:51:14.118739 > 	PauliZ001	Complete!
2022-02-24 15:51:14.118807 > 	PauliX001	Complete!
2022-02-24 15:51:14.118882 > 	PauliX0X101	Complete!
2022-02-24 15:51:14.118951 > 	PauliY0Y101	Complete!
2022-02-24 15:51:14.119011 > 	PauliZ101	Complete!
2022-02-24 15:51:14.119058 > 	PauliX101	Complete!
2022-02-24 15:51:14.119102 > 	PauliZ011	Complete!
2022-02-24 15:51:14.119143 > 	PauliX011	Complete!
2022-02-24 15:51:14.119182 > 	PauliX0X111	Complete!
2022-02-24 15:51:14.119222 > 	PauliY0Y111	Complete!
2022-02-24 15:51:14.119273 > 	PauliZ111	Complete!
2022-02-24 15:51:14.119315 > 	PauliX111	Complete!
2022-02-24 15:51:14.119403 > 	Started running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.119561 > 	Phi01	Complete!
2022-02-24 15:51:14.119612 > 	PauliZ000	Complete!
2022-02-24 15:51:14.119671 > 	PauliX000	Complete!
2022-02-24 15:51:14.119736 > 	PauliX0X100	Complete!
2022-02-24 15:51:14.119802 > 	PauliY0Y100	Complete!
2022-02-24 15:51:14.119848 > 	PauliZ100	Complete!
2022-02-24 15:51:14.119889 > 	PauliX100	Complete!
2022-02-24 15:51:14.119945 > 	PauliZ001	Complete!
2022-02-24 15:51:14.119999 > 	PauliX001	Complete!
2022-02-24 15:51:14.120041 > 	PauliX0X101	Complete!
2022-02-24 15:51:14.120081 > 	PauliY0Y101	Complete!
2022-02-24 15:51:14.120121 > 	PauliZ101	Complete!
2022-02-24 15:51:14.120161 > 	PauliX101	Complete!
2022-02-24 15:51:14.120200 > 	PauliZ011	Complete!
2022-02-24 15:51:14.120240 > 	PauliX011	Complete!
2022-02-24 15:51:14.120279 > 	PauliX0X111	Complete!
2022-02-24 15:51:14.120319 > 	PauliY0Y111	Complete!
2022-02-24 15:51:14.120359 > 	PauliZ111	Complete!
2022-02-24 15:51:14.120399 > 	PauliX111	Complete!
2022-02-24 15:51:14.120544 > 	Finished running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.178933 > 	Successfully loaded project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.179022 > 	Phi01	Complete!
2022-02-24 15:51:14.179076 > 	PauliZ000	Complete!
2022-02-24 15:51:14.179124 > 	PauliX000	Complete!
2022-02-24 15:51:14.179169 > 	PauliX0X100	Complete!
2022-02-24 15:51:14.179213 > 	PauliY0Y100	Complete!
2022-02-24 15:51:14.179255 > 	PauliZ100	Complete!
2022-02-24 15:51:14.179297 > 	PauliX100	Complete!
2022-02-24 15:51:14.179339 > 	PauliZ001	Complete!
2022-02-24 15:51:14.179381 > 	PauliX001	Complete!
2022-02-24 15:51:14.179423 > 	PauliX0X101	Complete!
2022-02-24 15:51:14.179465 > 	PauliY0Y101	Complete!
2022-02-24 15:51:14.179507 > 	PauliZ101	Complete!
2022-02-24 15:51:14.179549 > 	PauliX101	Complete!
2022-02-24 15:51:14.179591 > 	PauliZ011	Complete!
2022-02-24 15:51:14.179642 > 	PauliX011	Complete!
2022-02-24 15:51:14.179683 > 	PauliX0X111	Complete!
2022-02-24 15:51:14.179725 > 	PauliY0Y111	Complete!
2022-02-24 15:51:14.179768 > 	PauliZ111	Complete!
2022-02-24 15:51:14.179809 > 	PauliX111	Complete!
2022-02-24 15:51:14.179892 > 	Started running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.180058 > 	Phi01	Complete!
2022-02-24 15:51:14.180117 > 	PauliZ000	Complete!
2022-02-24 15:51:14.180178 > 	PauliX000	Complete!
2022-02-24 15:51:14.180231 > 	PauliX0X100	Complete!
2022-02-24 15:51:14.180277 > 	PauliY0Y100	Complete!
2022-02-24 15:51:14.180320 > 	PauliZ100	Complete!
2022-02-24 15:51:14.180371 > 	PauliX100	Complete!
2022-02-24 15:51:14.180426 > 	PauliZ001	Complete!
2022-02-24 15:51:14.180475 > 	PauliX001	Complete!
2022-02-24 15:51:14.180527 > 	PauliX0X101	Complete!
2022-02-24 15:51:14.180578 > 	PauliY0Y101	Complete!
2022-02-24 15:51:14.180628 > 	PauliZ101	Complete!
2022-02-24 15:51:14.180682 > 	PauliX101	Complete!
2022-02-24 15:51:14.180727 > 	PauliZ011	Complete!
2022-02-24 15:51:14.180775 > 	PauliX011	Complete!
2022-02-24 15:51:14.180834 > 	PauliX0X111	Complete!
2022-02-24 15:51:14.180890 > 	PauliY0Y111	Complete!
2022-02-24 15:51:14.180936 > 	PauliZ111	Complete!
2022-02-24 15:51:14.180981 > 	PauliX111	Complete!
2022-02-24 15:51:14.181156 > 	Finished running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.231141 > 	Successfully loaded project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.231215 > 	Phi01	Complete!
2022-02-24 15:51:14.231259 > 	PauliZ000	Complete!
2022-02-24 15:51:14.231298 > 	PauliX000	Complete!
2022-02-24 15:51:14.231334 > 	PauliX0X100	Complete!
2022-02-24 15:51:14.231370 > 	PauliY0Y100	Complete!
2022-02-24 15:51:14.231406 > 	PauliZ100	Complete!
2022-02-24 15:51:14.231441 > 	PauliX100	Complete!
2022-02-24 15:51:14.231477 > 	PauliZ001	Complete!
2022-02-24 15:51:14.231513 > 	PauliX001	Complete!
2022-02-24 15:51:14.231574 > 	PauliX0X101	Complete!
2022-02-24 15:51:14.231635 > 	PauliY0Y101	Complete!
2022-02-24 15:51:14.231676 > 	PauliZ101	Complete!
2022-02-24 15:51:14.231713 > 	PauliX101	Complete!
2022-02-24 15:51:14.231749 > 	PauliZ011	Complete!
2022-02-24 15:51:14.231785 > 	PauliX011	Complete!
2022-02-24 15:51:14.231820 > 	PauliX0X111	Complete!
